0:0:0:0:0:0:0:1 - - [29/May/2020:11:41:07 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/css/classes.css HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [29/May/2020:11:41:07 -0400] "GET /adap_compound_db_war/resources/tagify-master/tagify.css HTTP/1.1" 200 7428
0:0:0:0:0:0:0:1 - - [29/May/2020:11:41:07 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/js/tabs.js HTTP/1.1" 200 1205
0:0:0:0:0:0:0:1 - - [29/May/2020:11:41:07 -0400] "GET /adap_compound_db_war/resources/jQuery-3.2.1/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [29/May/2020:11:41:07 -0400] "GET /adap_compound_db_war/resources/DataTables-1.10.16/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [29/May/2020:11:41:07 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/css/plots.css HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [29/May/2020:11:41:07 -0400] "GET /adap_compound_db_war/resources/jquery-ui-1.12.1/jquery-ui.min.js HTTP/1.1" 200 253669
0:0:0:0:0:0:0:1 - - [29/May/2020:11:41:07 -0400] "GET /adap_compound_db_war/resources/Select-1.2.5/js/dataTables.select.min.js HTTP/1.1" 200 11708
0:0:0:0:0:0:0:1 - - [29/May/2020:11:41:08 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/img/molecule.jpg HTTP/1.1" 200 27271
0:0:0:0:0:0:0:1 - - [29/May/2020:11:41:08 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/img/two_spectra.png HTTP/1.1" 200 27241
0:0:0:0:0:0:0:1 - - [29/May/2020:11:41:08 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/css/main_mobile_portrait.css HTTP/1.1" 200 10820
0:0:0:0:0:0:0:1 - - [29/May/2020:11:41:08 -0400] "GET /adap_compound_db_war/resources/static/favicon-32x32.png HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [29/May/2020:11:41:09 -0400] "GET /adap_compound_db_war/login/ HTTP/1.1" 200 6569
0:0:0:0:0:0:0:1 - - [29/May/2020:11:41:09 -0400] "GET /adap_compound_db_war/signup HTTP/1.1" 200 7483
0:0:0:0:0:0:0:1 - - [29/May/2020:11:41:10 -0400] "POST /adap_compound_db_war/signup HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2020:11:41:10 -0400] "GET /adap_compound_db_war/login/ HTTP/1.1" 200 6569
0:0:0:0:0:0:0:1 - - [29/May/2020:11:41:11 -0400] "POST /adap_compound_db_war/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2020:11:41:11 -0400] "GET /adap_compound_db_war/ HTTP/1.1" 200 9663
0:0:0:0:0:0:0:1 - - [29/May/2020:11:41:22 -0400] "GET /adap_compound_db_war/account/ HTTP/1.1" 200 8551
0:0:0:0:0:0:0:1 - - [29/May/2020:11:41:22 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/js/tagsColor.js HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [29/May/2020:11:41:22 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/js/dialogs.js HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [29/May/2020:11:41:22 -0400] "GET /adap_compound_db_war/resources/DataTables-1.10.16/images/sort_both.png HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [29/May/2020:14:29:00 -0400] "GET /adap_compound_db_war/ HTTP/1.1" 200 9382
0:0:0:0:0:0:0:1 - - [29/May/2020:14:29:00 -0400] "GET /adap_compound_db_war/resources/jquery-ui-1.12.1/jquery-ui.min.js HTTP/1.1" 200 253669
0:0:0:0:0:0:0:1 - - [29/May/2020:14:34:59 -0400] "GET /adap_compound_db_war/ HTTP/1.1" 200 9382
0:0:0:0:0:0:0:1 - - [29/May/2020:14:34:59 -0400] "GET /adap_compound_db_war/resources/datatables.min.css HTTP/1.1" 200 18273
0:0:0:0:0:0:0:1 - - [29/May/2020:14:34:59 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/css/main.css HTTP/1.1" 200 11067
0:0:0:0:0:0:0:1 - - [29/May/2020:14:34:59 -0400] "GET /adap_compound_db_war/resources/jquery-ui-1.12.1/jquery-ui.theme.min.css HTTP/1.1" 200 13841
0:0:0:0:0:0:0:1 - - [29/May/2020:14:34:59 -0400] "GET /adap_compound_db_war/resources/DataTables-1.10.16/css/jquery.dataTables.min.css HTTP/1.1" 200 13900
0:0:0:0:0:0:0:1 - - [29/May/2020:14:34:59 -0400] "GET /adap_compound_db_war/resources/Select-1.2.5/css/select.dataTables.min.css HTTP/1.1" 200 3918
0:0:0:0:0:0:0:1 - - [29/May/2020:14:34:59 -0400] "GET /adap_compound_db_war/resources/jquery-ui-1.12.1/jquery-ui.min.css HTTP/1.1" 200 32076
0:0:0:0:0:0:0:1 - - [29/May/2020:14:34:59 -0400] "GET /adap_compound_db_war/resources/jquery-ui-1.12.1/jquery-ui.structure.min.css HTTP/1.1" 200 15548
0:0:0:0:0:0:0:1 - - [29/May/2020:14:34:59 -0400] "GET /adap_compound_db_war/resources/tag-it-6ccd2de/css/jquery.tagit.css HTTP/1.1" 200 1412
0:0:0:0:0:0:0:1 - - [29/May/2020:14:34:59 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/css/tables.css HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [29/May/2020:14:34:59 -0400] "GET /adap_compound_db_war/resources/tag-it-6ccd2de/css/tagit.ui-zendesk.css HTTP/1.1" 200 2822
0:0:0:0:0:0:0:1 - - [29/May/2020:14:34:59 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/css/classes.css HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [29/May/2020:14:34:59 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/css/plots.css HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [29/May/2020:14:34:59 -0400] "GET /adap_compound_db_war/resources/tagify-master/tagify.css HTTP/1.1" 200 7428
0:0:0:0:0:0:0:1 - - [29/May/2020:14:34:59 -0400] "GET /adap_compound_db_war/resources/jQuery-3.2.1/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [29/May/2020:14:34:59 -0400] "GET /adap_compound_db_war/resources/DataTables-1.10.16/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [29/May/2020:14:34:59 -0400] "GET /adap_compound_db_war/resources/Select-1.2.5/js/dataTables.select.min.js HTTP/1.1" 200 11708
0:0:0:0:0:0:0:1 - - [29/May/2020:14:34:59 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/js/tabs.js HTTP/1.1" 200 1205
0:0:0:0:0:0:0:1 - - [29/May/2020:14:34:59 -0400] "GET /adap_compound_db_war/resources/jquery-ui-1.12.1/jquery-ui.min.js HTTP/1.1" 200 253669
0:0:0:0:0:0:0:1 - - [29/May/2020:14:34:59 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/img/molecule.jpg HTTP/1.1" 200 27271
0:0:0:0:0:0:0:1 - - [29/May/2020:14:34:59 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/img/two_spectra.png HTTP/1.1" 200 27241
0:0:0:0:0:0:0:1 - - [29/May/2020:14:34:59 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/css/main_mobile_portrait.css HTTP/1.1" 200 10820
0:0:0:0:0:0:0:1 - - [29/May/2020:14:35:00 -0400] "GET /adap_compound_db_war/resources/static/favicon-32x32.png HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [29/May/2020:14:35:02 -0400] "GET /adap_compound_db_war/login/ HTTP/1.1" 200 6569
0:0:0:0:0:0:0:1 - - [29/May/2020:14:35:03 -0400] "GET /adap_compound_db_war/signup HTTP/1.1" 200 7483
0:0:0:0:0:0:0:1 - - [29/May/2020:14:35:05 -0400] "POST /adap_compound_db_war/signup HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2020:14:35:05 -0400] "GET /adap_compound_db_war/login/ HTTP/1.1" 200 6569
0:0:0:0:0:0:0:1 - - [29/May/2020:14:35:06 -0400] "POST /adap_compound_db_war/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2020:14:35:06 -0400] "GET /adap_compound_db_war/ HTTP/1.1" 200 9663
0:0:0:0:0:0:0:1 - - [29/May/2020:14:35:06 -0400] "GET /adap_compound_db_war/account/ HTTP/1.1" 200 8551
0:0:0:0:0:0:0:1 - - [29/May/2020:14:35:06 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/js/tagsColor.js HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [29/May/2020:14:35:06 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/js/dialogs.js HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [29/May/2020:14:35:07 -0400] "GET /adap_compound_db_war/resources/DataTables-1.10.16/images/sort_both.png HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [29/May/2020:14:47:45 -0400] "GET /adap_compound_db_war/ HTTP/1.1" 200 9382
0:0:0:0:0:0:0:1 - - [29/May/2020:14:47:45 -0400] "GET /adap_compound_db_war/resources/datatables.min.css HTTP/1.1" 200 18273
0:0:0:0:0:0:0:1 - - [29/May/2020:14:47:45 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/css/main.css HTTP/1.1" 200 11067
0:0:0:0:0:0:0:1 - - [29/May/2020:14:47:45 -0400] "GET /adap_compound_db_war/resources/DataTables-1.10.16/css/jquery.dataTables.min.css HTTP/1.1" 200 13900
0:0:0:0:0:0:0:1 - - [29/May/2020:14:47:45 -0400] "GET /adap_compound_db_war/resources/Select-1.2.5/css/select.dataTables.min.css HTTP/1.1" 200 3918
0:0:0:0:0:0:0:1 - - [29/May/2020:14:47:45 -0400] "GET /adap_compound_db_war/resources/jquery-ui-1.12.1/jquery-ui.min.css HTTP/1.1" 200 32076
0:0:0:0:0:0:0:1 - - [29/May/2020:14:47:45 -0400] "GET /adap_compound_db_war/resources/jquery-ui-1.12.1/jquery-ui.theme.min.css HTTP/1.1" 200 13841
0:0:0:0:0:0:0:1 - - [29/May/2020:14:47:45 -0400] "GET /adap_compound_db_war/resources/jquery-ui-1.12.1/jquery-ui.structure.min.css HTTP/1.1" 200 15548
0:0:0:0:0:0:0:1 - - [29/May/2020:14:47:45 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/css/tables.css HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [29/May/2020:14:47:45 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/css/classes.css HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [29/May/2020:14:47:45 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/css/plots.css HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [29/May/2020:14:47:45 -0400] "GET /adap_compound_db_war/resources/tagify-master/tagify.css HTTP/1.1" 200 7428
0:0:0:0:0:0:0:1 - - [29/May/2020:14:47:45 -0400] "GET /adap_compound_db_war/resources/jQuery-3.2.1/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [29/May/2020:14:47:45 -0400] "GET /adap_compound_db_war/resources/DataTables-1.10.16/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [29/May/2020:14:47:45 -0400] "GET /adap_compound_db_war/resources/Select-1.2.5/js/dataTables.select.min.js HTTP/1.1" 200 11708
0:0:0:0:0:0:0:1 - - [29/May/2020:14:47:45 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/js/tabs.js HTTP/1.1" 200 1205
0:0:0:0:0:0:0:1 - - [29/May/2020:14:47:45 -0400] "GET /adap_compound_db_war/resources/jquery-ui-1.12.1/jquery-ui.min.js HTTP/1.1" 200 253669
0:0:0:0:0:0:0:1 - - [29/May/2020:14:47:45 -0400] "GET /adap_compound_db_war/resources/tag-it-6ccd2de/css/jquery.tagit.css HTTP/1.1" 200 1412
0:0:0:0:0:0:0:1 - - [29/May/2020:14:47:45 -0400] "GET /adap_compound_db_war/resources/tag-it-6ccd2de/css/tagit.ui-zendesk.css HTTP/1.1" 200 2822
0:0:0:0:0:0:0:1 - - [29/May/2020:14:47:45 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/img/molecule.jpg HTTP/1.1" 200 27271
0:0:0:0:0:0:0:1 - - [29/May/2020:14:47:45 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/img/two_spectra.png HTTP/1.1" 200 27241
0:0:0:0:0:0:0:1 - - [29/May/2020:14:47:45 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/css/main_mobile_portrait.css HTTP/1.1" 200 10820
0:0:0:0:0:0:0:1 - - [29/May/2020:14:47:46 -0400] "GET /adap_compound_db_war/resources/static/favicon-32x32.png HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [29/May/2020:14:47:56 -0400] "GET /adap_compound_db_war/login/ HTTP/1.1" 200 6569
0:0:0:0:0:0:0:1 - - [29/May/2020:14:47:57 -0400] "GET /adap_compound_db_war/signup HTTP/1.1" 200 7483
0:0:0:0:0:0:0:1 - - [29/May/2020:14:47:59 -0400] "POST /adap_compound_db_war/signup HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2020:14:47:59 -0400] "GET /adap_compound_db_war/login/ HTTP/1.1" 200 6569
0:0:0:0:0:0:0:1 - - [29/May/2020:14:48:00 -0400] "POST /adap_compound_db_war/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2020:14:48:00 -0400] "GET /adap_compound_db_war/ HTTP/1.1" 200 9663
0:0:0:0:0:0:0:1 - - [29/May/2020:14:48:00 -0400] "GET /adap_compound_db_war/account/ HTTP/1.1" 200 8551
0:0:0:0:0:0:0:1 - - [29/May/2020:14:48:00 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/js/tagsColor.js HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [29/May/2020:14:48:00 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/js/dialogs.js HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [29/May/2020:14:48:01 -0400] "GET /adap_compound_db_war/resources/DataTables-1.10.16/images/sort_both.png HTTP/1.1" 200 201
